20:28:24 | INFO    | Model: dgmc | Device: cuda
20:28:30 | INFO    | Data: {'pair': 'zh_en', 'num_features': 300, '|src nodes|': 19388, '|tgt nodes|': 19572, '|src edges|': 70414, '|tgt edges|': 95142, 'train_y': 4500, 'test_y': 10500}
20:28:33 | INFO    | Params: 0.91M
20:28:33 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/dgmc_zh_en_20260718-202824
20:28:33 | INFO    | Device: cuda:0 | src=19388 tgt=19572 feat=300 train_y=4500 test_y=10500
20:28:33 | INFO    | Phase 1 (1..100): local feature matching (num_steps=0).
20:30:25 | INFO    | epoch  229/300 | loss=0.0052 | Hit@1=0.7538 Hit@10=0.8360 MRR=0.7839
20:30:25 | INFO    | epoch  230/300 | loss=0.0074 | Hit@1=0.7584 Hit@10=0.8374 MRR=0.7869
20:30:26 | INFO    |            -> new best Hit@1=0.7584 (saved model_best.pt)
20:30:26 | INFO    | epoch  231/300 | loss=0.0021 | Hit@1=0.7547 Hit@10=0.8364 MRR=0.7844
20:30:27 | INFO    | epoch  232/300 | loss=0.0069 | Hit@1=0.7542 Hit@10=0.8354 MRR=0.7832
20:30:27 | INFO    | epoch  233/300 | loss=0.0041 | Hit@1=0.7512 Hit@10=0.8365 MRR=0.7821
20:30:28 | INFO    | epoch  234/300 | loss=0.0059 | Hit@1=0.7525 Hit@10=0.8367 MRR=0.7828
20:30:29 | INFO    | epoch  235/300 | loss=0.0061 | Hit@1=0.7541 Hit@10=0.8364 MRR=0.7841
20:30:30 | INFO    | epoch  236/300 | loss=0.0039 | Hit@1=0.7533 Hit@10=0.8353 MRR=0.7831
20:30:31 | INFO    | epoch  237/300 | loss=0.0036 | Hit@1=0.7557 Hit@10=0.8364 MRR=0.7846
20:30:31 | INFO    | epoch  238/300 | loss=0.0036 | Hit@1=0.7542 Hit@10=0.8356 MRR=0.7833
20:30:32 | INFO    | epoch  239/300 | loss=0.0076 | Hit@1=0.7524 Hit@10=0.8374 MRR=0.7832
20:30:33 | INFO    | epoch  240/300 | loss=0.0036 | Hit@1=0.7523 Hit@10=0.8371 MRR=0.7828
20:30:33 | INFO    | epoch  241/300 | loss=0.0056 | Hit@1=0.7529 Hit@10=0.8369 MRR=0.7828
20:30:34 | INFO    | epoch  242/300 | loss=0.0067 | Hit@1=0.7532 Hit@10=0.8359 MRR=0.7831
20:30:35 | INFO    | epoch  243/300 | loss=0.0034 | Hit@1=0.7519 Hit@10=0.8358 MRR=0.7824
20:30:36 | INFO    | epoch  244/300 | loss=0.0035 | Hit@1=0.7563 Hit@10=0.8357 MRR=0.7851
20:30:36 | INFO    | epoch  245/300 | loss=0.0038 | Hit@1=0.7538 Hit@10=0.8364 MRR=0.7837
20:30:37 | INFO    | epoch  246/300 | loss=0.0055 | Hit@1=0.7522 Hit@10=0.8356 MRR=0.7827
20:30:38 | INFO    | epoch  247/300 | loss=0.0054 | Hit@1=0.7533 Hit@10=0.8355 MRR=0.7830
20:30:39 | INFO    | epoch  248/300 | loss=0.0082 | Hit@1=0.7541 Hit@10=0.8362 MRR=0.7837
20:30:39 | INFO    | epoch  249/300 | loss=0.0039 | Hit@1=0.7537 Hit@10=0.8370 MRR=0.7833
20:30:40 | INFO    | epoch  250/300 | loss=0.0055 | Hit@1=0.7530 Hit@10=0.8365 MRR=0.7824
20:30:41 | INFO    | epoch  251/300 | loss=0.0035 | Hit@1=0.7535 Hit@10=0.8356 MRR=0.7832
20:30:42 | INFO    | epoch  252/300 | loss=0.0034 | Hit@1=0.7542 Hit@10=0.8370 MRR=0.7834
20:30:42 | INFO    | epoch  253/300 | loss=0.0075 | Hit@1=0.7528 Hit@10=0.8361 MRR=0.7828
20:30:43 | INFO    | epoch  254/300 | loss=0.0047 | Hit@1=0.7545 Hit@10=0.8352 MRR=0.7838
20:30:44 | INFO    | epoch  255/300 | loss=0.0044 | Hit@1=0.7550 Hit@10=0.8367 MRR=0.7837
20:30:45 | INFO    | epoch  256/300 | loss=0.0054 | Hit@1=0.7544 Hit@10=0.8359 MRR=0.7840
20:30:45 | INFO    | epoch  257/300 | loss=0.0022 | Hit@1=0.7545 Hit@10=0.8372 MRR=0.7840
20:30:46 | INFO    | epoch  258/300 | loss=0.0041 | Hit@1=0.7542 Hit@10=0.8357 MRR=0.7837
20:30:47 | INFO    | epoch  259/300 | loss=0.0024 | Hit@1=0.7516 Hit@10=0.8367 MRR=0.7824
20:30:48 | INFO    | epoch  260/300 | loss=0.0032 | Hit@1=0.7533 Hit@10=0.8356 MRR=0.7834
20:30:48 | INFO    | epoch  261/300 | loss=0.0020 | Hit@1=0.7543 Hit@10=0.8370 MRR=0.7840
20:30:49 | INFO    | epoch  262/300 | loss=0.0031 | Hit@1=0.7524 Hit@10=0.8358 MRR=0.7824
20:30:50 | INFO    | epoch  263/300 | loss=0.0023 | Hit@1=0.7553 Hit@10=0.8357 MRR=0.7842
20:30:51 | INFO    | epoch  264/300 | loss=0.0038 | Hit@1=0.7549 Hit@10=0.8354 MRR=0.7845
20:30:51 | INFO    | epoch  265/300 | loss=0.0023 | Hit@1=0.7533 Hit@10=0.8370 MRR=0.7837
20:30:52 | INFO    | epoch  266/300 | loss=0.0038 | Hit@1=0.7532 Hit@10=0.8369 MRR=0.7834
20:30:53 | INFO    | epoch  267/300 | loss=0.0033 | Hit@1=0.7521 Hit@10=0.8362 MRR=0.7828
20:30:54 | INFO    | epoch  268/300 | loss=0.0046 | Hit@1=0.7535 Hit@10=0.8362 MRR=0.7835
20:30:54 | INFO    | epoch  269/300 | loss=0.0032 | Hit@1=0.7520 Hit@10=0.8366 MRR=0.7828
20:30:55 | INFO    | epoch  270/300 | loss=0.0056 | Hit@1=0.7509 Hit@10=0.8367 MRR=0.7817
20:30:56 | INFO    | epoch  271/300 | loss=0.0021 | Hit@1=0.7522 Hit@10=0.8367 MRR=0.7830
20:30:57 | INFO    | epoch  272/300 | loss=0.0030 | Hit@1=0.7529 Hit@10=0.8367 MRR=0.7826
20:30:57 | INFO    | epoch  273/300 | loss=0.0073 | Hit@1=0.7525 Hit@10=0.8369 MRR=0.7823
