04:46:45 | INFO    | Model: kecg | Device: cuda
04:46:46 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
04:46:48 | INFO    | Params: 5.38M
04:46:48 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/kecg_zh_en_0_3_20260718-044645
04:46:48 | INFO    | Device: cuda:0 | entities=38960 edges=298096 rep_dim=128 seed_pairs=4500 test_pairs=10500
04:47:36 | INFO    |            -> new best MRR=0.5629 (saved model_best.pt)
04:47:38 | INFO    | epoch  650/3000 | loss=2.7269
04:47:38 | INFO    |            [l2r] MRR=0.5700 Hit@1=0.4479 Hit@5=0.7236 Hit@10=0.8162 MR=62.9 | [r2l] MRR=0.5581 Hit@1=0.4379 Hit@5=0.7033 Hit@10=0.7956 MR=59.2 | [avg] MRR=0.5641 Hit@1=0.4429 Hit@5=0.7135 Hit@10=0.8059 MR=61.0
04:47:38 | INFO    |            -> new best MRR=0.5641 (saved model_best.pt)
04:47:39 | INFO    | epoch  675/3000 | loss=0.0520
04:47:39 | INFO    |            [l2r] MRR=0.5709 Hit@1=0.4483 Hit@5=0.7262 Hit@10=0.8166 MR=62.8 | [r2l] MRR=0.5598 Hit@1=0.4403 Hit@5=0.7048 Hit@10=0.7962 MR=58.8 | [avg] MRR=0.5653 Hit@1=0.4443 Hit@5=0.7155 Hit@10=0.8064 MR=60.8
04:47:40 | INFO    |            -> new best MRR=0.5653 (saved model_best.pt)
04:47:41 | INFO    | epoch  700/3000 | loss=2.7077
04:47:41 | INFO    |            [l2r] MRR=0.5718 Hit@1=0.4491 Hit@5=0.7267 Hit@10=0.8174 MR=62.5 | [r2l] MRR=0.5617 Hit@1=0.4423 Hit@5=0.7053 Hit@10=0.7983 MR=58.4 | [avg] MRR=0.5667 Hit@1=0.4457 Hit@5=0.7160 Hit@10=0.8079 MR=60.4
04:47:42 | INFO    |            -> new best MRR=0.5667 (saved model_best.pt)
04:47:43 | INFO    | epoch  725/3000 | loss=0.0520
04:47:43 | INFO    |            [l2r] MRR=0.5732 Hit@1=0.4509 Hit@5=0.7279 Hit@10=0.8183 MR=62.4 | [r2l] MRR=0.5623 Hit@1=0.4423 Hit@5=0.7074 Hit@10=0.7997 MR=58.2 | [avg] MRR=0.5677 Hit@1=0.4466 Hit@5=0.7177 Hit@10=0.8090 MR=60.3
04:47:44 | INFO    |            -> new best MRR=0.5677 (saved model_best.pt)
04:47:45 | INFO    | epoch  750/3000 | loss=2.6880
04:47:45 | INFO    |            [l2r] MRR=0.5744 Hit@1=0.4523 Hit@5=0.7287 Hit@10=0.8194 MR=62.2 | [r2l] MRR=0.5635 Hit@1=0.4435 Hit@5=0.7092 Hit@10=0.8012 MR=57.8 | [avg] MRR=0.5689 Hit@1=0.4479 Hit@5=0.7190 Hit@10=0.8103 MR=60.0
04:47:46 | INFO    |            -> new best MRR=0.5689 (saved model_best.pt)
04:47:47 | INFO    | epoch  775/3000 | loss=0.0551
04:47:47 | INFO    |            [l2r] MRR=0.5755 Hit@1=0.4542 Hit@5=0.7290 Hit@10=0.8203 MR=62.0 | [r2l] MRR=0.5645 Hit@1=0.4450 Hit@5=0.7106 Hit@10=0.8019 MR=57.4 | [avg] MRR=0.5700 Hit@1=0.4496 Hit@5=0.7198 Hit@10=0.8111 MR=59.7
04:47:48 | INFO    |            -> new best MRR=0.5700 (saved model_best.pt)
04:47:49 | INFO    | epoch  800/3000 | loss=2.6676
04:47:49 | INFO    |            [l2r] MRR=0.5762 Hit@1=0.4549 Hit@5=0.7298 Hit@10=0.8213 MR=61.7 | [r2l] MRR=0.5658 Hit@1=0.4467 Hit@5=0.7112 Hit@10=0.8026 MR=57.0 | [avg] MRR=0.5710 Hit@1=0.4508 Hit@5=0.7205 Hit@10=0.8120 MR=59.4
04:47:50 | INFO    |            -> new best MRR=0.5710 (saved model_best.pt)
04:47:51 | INFO    | epoch  825/3000 | loss=0.0551
04:47:51 | INFO    |            [l2r] MRR=0.5767 Hit@1=0.4553 Hit@5=0.7300 Hit@10=0.8213 MR=61.6 | [r2l] MRR=0.5672 Hit@1=0.4485 Hit@5=0.7121 Hit@10=0.8030 MR=56.9 | [avg] MRR=0.5720 Hit@1=0.4519 Hit@5=0.7210 Hit@10=0.8122 MR=59.2
04:47:52 | INFO    |            -> new best MRR=0.5720 (saved model_best.pt)
04:47:53 | INFO    | epoch  850/3000 | loss=2.6465
04:47:53 | INFO    |            [l2r] MRR=0.5773 Hit@1=0.4560 Hit@5=0.7303 Hit@10=0.8215 MR=61.4 | [r2l] MRR=0.5678 Hit@1=0.4487 Hit@5=0.7132 Hit@10=0.8034 MR=56.3 | [avg] MRR=0.5725 Hit@1=0.4523 Hit@5=0.7218 Hit@10=0.8125 MR=58.9
04:47:54 | INFO    |            -> new best MRR=0.5725 (saved model_best.pt)
04:47:55 | INFO    | epoch  875/3000 | loss=0.0563
04:47:55 | INFO    |            [l2r] MRR=0.5778 Hit@1=0.4564 Hit@5=0.7310 Hit@10=0.8222 MR=61.3 | [r2l] MRR=0.5685 Hit@1=0.4493 Hit@5=0.7145 Hit@10=0.8046 MR=56.1 | [avg] MRR=0.5732 Hit@1=0.4529 Hit@5=0.7228 Hit@10=0.8134 MR=58.7
04:47:56 | INFO    |            -> new best MRR=0.5732 (saved model_best.pt)
04:47:57 | INFO    | epoch  900/3000 | loss=2.6247
04:47:57 | INFO    |            [l2r] MRR=0.5783 Hit@1=0.4567 Hit@5=0.7316 Hit@10=0.8226 MR=61.1 | [r2l] MRR=0.5696 Hit@1=0.4505 Hit@5=0.7146 Hit@10=0.8053 MR=55.7 | [avg] MRR=0.5739 Hit@1=0.4536 Hit@5=0.7231 Hit@10=0.8140 MR=58.4
04:47:57 | INFO    |            -> new best MRR=0.5739 (saved model_best.pt)
04:47:59 | INFO    | epoch  925/3000 | loss=0.0581
04:47:59 | INFO    |            [l2r] MRR=0.5791 Hit@1=0.4578 Hit@5=0.7319 Hit@10=0.8231 MR=61.1 | [r2l] MRR=0.5698 Hit@1=0.4505 Hit@5=0.7162 Hit@10=0.8053 MR=55.5 | [avg] MRR=0.5745 Hit@1=0.4541 Hit@5=0.7240 Hit@10=0.8142 MR=58.3
04:47:59 | INFO    |            -> new best MRR=0.5745 (saved model_best.pt)
04:48:01 | INFO    | epoch  950/3000 | loss=2.6023
04:48:01 | INFO    |            [l2r] MRR=0.5796 Hit@1=0.4583 Hit@5=0.7323 Hit@10=0.8250 MR=61.0 | [r2l] MRR=0.5710 Hit@1=0.4525 Hit@5=0.7170 Hit@10=0.8066 MR=55.2 | [avg] MRR=0.5753 Hit@1=0.4554 Hit@5=0.7246 Hit@10=0.8158 MR=58.1
04:48:01 | INFO    |            -> new best MRR=0.5753 (saved model_best.pt)
04:48:03 | INFO    | epoch  975/3000 | loss=0.0587
04:48:03 | INFO    |            [l2r] MRR=0.5799 Hit@1=0.4582 Hit@5=0.7330 Hit@10=0.8248 MR=60.9 | [r2l] MRR=0.5719 Hit@1=0.4533 Hit@5=0.7179 Hit@10=0.8078 MR=55.2 | [avg] MRR=0.5759 Hit@1=0.4558 Hit@5=0.7255 Hit@10=0.8163 MR=58.0
04:48:03 | INFO    |            -> new best MRR=0.5759 (saved model_best.pt)
04:48:05 | INFO    | epoch 1000/3000 | loss=2.5792
04:48:05 | INFO    |            [l2r] MRR=0.5810 Hit@1=0.4594 Hit@5=0.7332 Hit@10=0.8252 MR=60.7 | [r2l] MRR=0.5725 Hit@1=0.4539 Hit@5=0.7185 Hit@10=0.8093 MR=54.8 | [avg] MRR=0.5768 Hit@1=0.4567 Hit@5=0.7259 Hit@10=0.8173 MR=57.7
04:48:05 | INFO    |            -> new best MRR=0.5768 (saved model_best.pt)
04:48:06 | INFO    | epoch 1025/3000 | loss=0.0589
